,index,name,player,text,episode,inaudible_speech,nonspeech,season
34228,10,Aabria,Aabria," Hello, and welcome back to Dimension 20, ""Burrow's End."" I am",2,,,Burrow's End
34229,11,Aabria,Aabria,"your dungeon master and warren warden, Aabria Iyengar, and with me are",2,,,Burrow's End
34230,12,Aabria,Aabria,"my mystical mustelids. Hey, what, I feel like I changed it in the",2,,,Burrow's End
34231,13,Aabria,Aabria,middle.,2,,,Burrow's End
34232,14,Brennan,Brennan, You changed it in the middle to another one that works.,2,,,Burrow's End
34233,15,Brennan,Brennan,,2,,(group chattering),Burrow's End
34234,16,Brennan,Brennan,"Were you considering ""mystical mustelids,"" 'cause we-",2,,,Burrow's End
34235,17,Aabria,Aabria," I was, and then my brain just kind of did that.",2,,,Burrow's End
34236,18,Izzy,Izzy, But now you're gonna have to do a different one every single time.,2,,,Burrow's End
34237,19,Jasper,Jasper, Yeah.,2,,,Burrow's End
34238,20,Aabria,Aabria, Yeah.,2,,,Burrow's End
34239,21,Brennan,Brennan," Do you have, do you have eight more stoat puns?",2,,,Burrow's End
34240,22,Aabria,Aabria," We're in the pocket, we're doing it. I guess we're changing this",2,,,Burrow's End
34241,23,Aabria,Aabria,"every time. So say hi, mystical mustelids.",2,,,Burrow's End
34242,24,All,All," Hi, mystical mustelids.",2,,,Burrow's End
34243,25,Izzy,Izzy, Mustelids.,2,,,Burrow's End
34244,26,Aabria,Aabria," Oh, no.  Recap time, so after meeting our family of",2,,(laughs),Burrow's End
34245,27,Aabria,Aabria,stoats within their ancestral home of the Red Warren and the outlying,2,,,Burrow's End
34246,28,Aabria,Aabria,"camp of the Lukura, the safety and peace was suddenly shattered as a",2,,,Burrow's End
34247,29,Aabria,Aabria,"freak dust storm, carrying with it strange but not entirely unfamiliar",2,,,Burrow's End
34248,30,Aabria,Aabria,scents and death swept through. but not entirely unfamiliar scents and,2,,,Burrow's End
34249,31,Aabria,Aabria,death swept through. You all managed to escape and you currently have,2,,,Burrow's End
34250,32,Aabria,Aabria,"with you  not really anyone from your home, with you  not",2,,(sighs)(sighs),Burrow's End
34251,33,Aabria,Aabria,"really anyone from your home, but we do have Olliver and Teedles, the",2,,,Burrow's End
34252,34,Aabria,Aabria,"beacons of a cult, so you're doing pretty good, TBH. I think it's fine,",2,,,Burrow's End
34253,35,Aabria,Aabria,it's-,2,,,Burrow's End
34254,36,Jasper,Jasper, It's definitely fine.,2,,,Burrow's End
34255,37,Aabria,Aabria, Yeah.,2,,,Burrow's End
34256,38,Jasper,Jasper," We're all, this is great, yeah.",2,,,Burrow's End
34257,39,Aabria,Aabria, Not really the numbers I thought you were gonna have coming into,2,,,Burrow's End
34258,40,Aabria,Aabria,"this, but I think we're doing great. So why don't we go ahead and, like,",2,,,Burrow's End
34259,41,Aabria,Aabria,get in and begin.,2,,,Burrow's End
34260,42,Jasper,Jasper," Seems worrying, a statement. For you to make.",2,,,Burrow's End
34261,43,Siobhan,Siobhan, All my friends are dead. ,2,,(laughs),Burrow's End
34262,44,Aabria,Aabria, Everyone you've ever known is dead.,2,,,Burrow's End
34263,45,Ava,Erika, You didn't-,2,,,Burrow's End
34264,46,Lila,Izzy, There's no friends?,2,,,Burrow's End
34265,47,Ava,Erika," You didn't really have any friends, honey.",2,,,Burrow's End
34266,48,Aabria,Aabria, Wait.,2,,,Burrow's End
34267,49,Jaysohn,Siobhan, My mom's my friend.,2,,,Burrow's End
34268,50,Aabria,Aabria," The thing is, the numbers I expected you guys to kind of walk",2,,,Burrow's End
34269,51,Aabria,Aabria,"away with aren't really there, but that's okay, let's just drop back",2,,,Burrow's End
34270,52,Aabria,Aabria,into it and see how we're doing.,2,,,Burrow's End
34271,53,Erika,Erika, I'm not gonna examine that.,2,,,Burrow's End
34272,54,Aabria,Aabria," No, don't.",2,,,Burrow's End
34273,55,Jasper,Jasper, Oh.,2,,,Burrow's End
34274,56,Jasper,Jasper,Projection of the woods appears,2,,,Burrow's End
34275,57,Siobhan,Siobhan," What, what's up?",2,,,Burrow's End
34276,58,Jasper,Jasper, Okay.,2,,,Burrow's End
34277,59,Aabria,Aabria," Let's begin in the woods. So you have no heading, what are you",2,,,Burrow's End
34278,60,Aabria,Aabria,gonna do?,2,,,Burrow's End
34279,61,Rashawn,Rashawn, I've climbed down from the tree and relay everything that I,2,,,Burrow's End
34280,62,Rashawn,Rashawn,"saw. It's like,",2,,,Burrow's End
34281,63,Viola,Rashawn," This thick nasty air has been, is following us, in a way, it's",2,,,Burrow's End
34282,64,Viola,Rashawn,"pushing us out. We can't go back home, everyone is, is gone.",2,,,Burrow's End
