,index,name,text,episode,timestamp,inaudible_speech,nonspeech
182527,0,MATT,"And welcome to tonight's episode of Critical Role, where a bunch of us nerdy-ass voice actors sit around and play Dungeons & Dragons. ",2,00:00:00,,
182528,1,TRAVIS,Dungeons & Dragons! ,2,00:00:05,,
182529,2,MATT,"Or that. We also do that, I guess. ",2,00:00:08,,
182530,3,TALIESIN,That's the same embarrassment that you feel about us; the way we're feeling about you now. ,2,00:00:10,,
182531,4,MATT,What the fuck was that?! ,2,00:00:13,,
182532,5,SAM,Where we play Dungeons & Dragons! ,2,00:00:15,,
182533,6,MATT,"Oh my god. Welcome. We're already loopy, what could possibly go wrong? So yes, welcome! Before we jump into tonight's game, we have some announcements to get through real fast so hold tight for just a moment. First and foremost, continuing tonight's sponsorship with our friends at D&D Beyond. Our now long-term partner. We're super excited to be working with them for the foreseeable future for the time being with the show. Sam, you have some words, I believe. ",2,00:00:18,,
182534,7,SAM,"To plug our good friends at D&D Beyond, I need my fellow castmates to help me. Can we practice? Can you all say, ""Boo""? ",2,00:00:44,,
182535,8,ALL,Boo! ,2,00:00:51,,
182536,9,SAM,"Can you all say, ""Yay""? ",2,00:00:53,,
182537,10,ALL,Yay! ,2,00:00:54,,
182538,11,SAM,"Okay, the official digital toolset for Critical Role is D&D Beyond. ",2,00:00:55,,
182539,12,ALL,Yay! ,2,00:01:00,,
182540,13,SAM,"Rules, spells, character sheets, and more, all with a pesky pen and paper? ",2,00:01:01,,
182541,14,ALL,Boo! ,2,00:01:08,,
182542,15,SAM,"No! You can access it digitally on your computer, mobile, or tablet. ",2,00:01:10,,
182543,16,ALL,Yay! ,2,00:01:14,,
182544,17,SAM,"The cast is using D&D Beyond every week, except for Taliesin. ",2,00:01:16,,
182545,18,ALL,Boo! ,2,00:01:21,,
182546,19,SAM,"Just kidding, he is! ",2,00:01:23,,
182547,20,ALL,Yay! ,2,00:01:24,,
182548,21,SAM,I have to use both the boo and the yay or else it doesn't make sense. He can do cool stuff like activate Critical Role content in his character builder and create a blood hunter. ,2,00:01:26,,
182549,22,ALL,Yay! ,2,00:01:39,,
182550,23,SAM,And do you think they charge an arm and a leg? ,2,00:01:40,,
182551,24,ALL,Boo! ,2,00:01:43,,
182552,25,SAM,"No, they don't! ",2,00:01:45,,
182553,26,ALL,Yay! ,2,00:01:47,,
182554,27,SAM,"D&D Beyond is offering a discount of $10 off any digital book in their shop. Use code ""beginnings"" at checkout. ",2,00:01:49,,
182555,28,ALL,Yay! ,2,00:01:57,,
182556,29,SAM,So check them out at dndbeyond.com. Is that D ,2,00:01:58,,
182557,30,ALL,Boo! ,2,00:02:02,,
182558,31,SAM,"No, is that D-N-D Beyond? ",2,00:02:04,,
182559,32,ALL,Yay! ,2,00:02:07,,
182560,33,SAM,And this spot was written by Sam Riegel. ,2,00:02:08,,
182561,34,ALL,Boo! ,2,00:02:10,,(laughter) 
182562,35,MATT,"Thank you so much, Sam. And thank you, D&D Beyond, for being our partners for this new campaign. ",2,00:02:15,,
182563,36,LAURA,"Marisha, you yay'ed, good for you! ",2,00:02:23,,
182564,37,MARISHA,"I did! It was a little complacent, but I yay'ed. I gave him one. ",2,00:02:25,,
182565,38,MATT,"Oh man. Talks Machina, of course, our after talk show about this episode will be on next Tuesday, as it is every Tuesday, after the show at 7:00pm Pacific here on Twitch and Project Alpha, with our host Brian W. Foster.  I always burp when I say his name. I wonder what that says about him. I don't know why. ",2,00:02:30,,(burp)
182566,39,LAURA,It's that cabbage smell. ,2,00:02:52,,
182567,40,MATT,"It's the cabbage. So check that out. Merch, Laura. ",2,00:02:53,,
182568,41,LAURA,"So, you know, we talked about those posters last week. They're still in the store on pre-order. Some of them are getting shipped out right now, so you should be getting them soon. ",2,00:02:57,,
182569,42,ALL,Yay! ,2,00:03:12,,
182570,43,LAURA,"We're going to leave them on pre-order until Monday night, so if you're watching this on YouTube after it's been aired live, you've got until midnight to put in that order. ",2,00:03:14,,
182571,44,ALL,Yay. ,2,00:03:23,,
182572,45,LAURA,More will be coming soon if those sell out. You know how it goes. ,2,00:03:25,,
182573,46,MATT,"Once again, we are firmly in support of our longtime charity partners, 826LA. They do awesome work teaching creative writing classes for children who normally wouldn't have the opportunity to get involved. They do phenomenal work. I recommend that you research them and if you can, either help with a donation or actually, you can donate your time as well to help teach and be part of the program if one is near you. Go check it out. ",2,00:03:49,,
182574,47,MARISHA,"We were talking to one of the heads at 826LA over the break, Joel, and he was saying that they would love to do D&D, but no one on their staff knows how to DM or do D&D. So if there's an 826 in your area, and you're like, ""I know, I'll start a D&D club,"" I'm sure they'll be open to it, just go talk to them and go teach kids D&D! ",2,00:04:45,,
182575,48,MATT,Yeah. Run a game for a bunch of cool teenagers and show them how awesome this game is. ,2,00:05:06,,
182576,49,MARISHA,Or cool eight-year-olds who are equally as amazing. ,2,00:05:11,,
182577,50,SAM,Or dorky eight-year-olds or teenagers. ,2,00:05:14,,
182578,51,MATT,"Those are the same, Sam. ",2,00:05:16,,
182579,52,MARISHA,Nerd is chic now. ,2,00:05:18,,
182580,53,MATT,"All right, cool! Appearances. Laura and Travis will be at Emerald City Comic Con in Seattle, March 2nd to the 4th. If you're up in that area, go over and say hi to them. I will be at Lexington Comic and Toy Con in Lexington, Kentucky March 9th to the 11th. As well as Otafest in Calgary up in Canada, May 18th to the 20th, and Akon in Texas, June 7th to the 10th. ",2,00:05:20,,
182581,54,SAM,Calgary is like the Kentucky of Canada. ,2,00:05:50,,
182582,55,LAURA,Is it? ,2,00:05:53,,
182583,56,SAM,I don't know. ,2,00:05:55,,
182584,57,MARISHA,I'll take that as a compliment. ,2,00:05:56,,
182585,58,LIAM,"I am also going to Bak-Anime, not to be confused with SacAnime, on February 3rd and 4th. ",2,00:05:58,,
182586,59,TRAVIS,"How do you spell that, B-A-K? ",2,00:06:05,,
182587,60,LIAM,"B-A-K, that's real soon. So I'll be there. ",2,00:06:07,,
182588,61,MATT,Beautiful. And I believe-- ,2,00:06:09,,
182589,62,LIAM,Comic book. ,2,00:06:13,,
182590,63,MATT,"Issue four on the 24th, I believe it is? ",2,00:06:20,,
182591,64,TALIESIN,By far the most fourth of all of these books. It's easily the most fourth. ,2,00:06:23,,
182592,65,TRAVIS,Like the blue hair. ,2,00:06:29,,
182593,66,TALIESIN,"Thank you, this is new. Just went for this, it's going to slowly darken over time. ",2,00:06:31,,
182594,67,MATT,Into pure shadow. ,2,00:06:35,,
182595,68,TALIESIN,"It's going to be keyframed and photoshopped, I'm aware. ",2,00:06:37,,
182596,69,MATT,"The invitation is there, folks. Screencap and photoshop away. ",2,00:06:43,,
182597,70,TALIESIN,I've already been told that's it's going to happen. ,2,00:06:47,,
182598,71,MATT,"And welcome back. Last we left off, our slowly gathering band of adventurers had begun to have their stories intertwine in the city of Trostenwald, on the southern reaches of western Wynandir on the continent of Wildemount. Here we had Nott and Caleb who had been traveling southward coming and meeting, in the center of the tavern, the Nestled Nook Inn, with Jester, Beauregard, and Fjord. They were invited to a nearby carnival that had begun preparing for their performance later that evening, in which they met Yasha and Molly. After swapping some stories, earning and losing some gold, they began to gather at the outskirts of the Ustaloch, the lake right on the eastern edge of Trostenwald, for the first opening performance of the Fletching and Moondrop Carnival of Curiosities. ",2,00:08:26,,
182599,72,TALIESIN,Traveling Carnival of Curiosities. ,2,00:09:25,,
